transaction_id,product,region,quantity,price,timestamp,customer_id,customer_name,customer_age,customer_gender,customer_location,product_id,product_name,product_category,product_brand,product_rating,discount_applied,total_amount,payment_method,order_date,order_time,delivery_time
1,Laptop,North,2,800.0,2025-05-28T14:00:00,,,,,,,,,,,,,,,,
2,Phone,South,5,300.0,2025-05-28T14:01:00,,,,,,,,,,,,,,,,
446908,,,2,61456.35,,4117.0,Customer_4117,24.0,Male,North India,4.0,Refrigerator,Wearables,Sony,4.8,0.23,94642.78,UPI,2025-05-31,09:14:07,2025-06-03 09:14:07
291755,,,2,25902.61,,1041.0,Customer_1041,25.0,Male,West India,95.0,Headphones,Electronics,LG,3.6,0.12,45588.59,Cash,2025-05-31,09:14:08,2025-06-05 09:14:08
749396,,,3,15747.6,,3480.0,Customer_3480,36.0,Female,West India,23.0,Smartwatch,Electronics,Samsung,4.4,0.08,43463.38,Net Banking,2025-05-31,09:14:09,2025-06-04 09:14:09
552049,,,3,29059.03,,2405.0,Customer_2405,22.0,Female,South India,69.0,Smartwatch,Home Appliances,OnePlus,3.9,0.25,65382.82,Cash,2025-05-31,09:14:10,2025-06-01 09:14:10
399995,,,1,38334.88,,8875.0,Customer_8875,38.0,Male,North India,89.0,Smartwatch,Electronics,Xiaomi,3.6,0.2,30667.9,Net Banking,2025-05-31,09:14:11,2025-06-03 09:14:11
515759,,,3,76772.88,,9286.0,Customer_9286,37.0,Male,West India,54.0,Refrigerator,Wearables,Boat,4.6,0.06,216499.52,Credit/Debit Card,2025-05-31,09:14:12,2025-06-01 09:14:12
127252,,,3,18172.47,,1672.0,Customer_1672,44.0,Male,North India,6.0,Washing Machine,Electronics,Boat,3.9,0.03,52881.89,UPI,2025-05-31,09:14:13,2025-06-01 09:14:13
166025,,,1,45650.01,,2884.0,Customer_2884,31.0,Female,East India,60.0,Refrigerator,Home Appliances,LG,4.6,0.22,35607.01,Credit/Debit Card,2025-05-31,09:14:15,2025-06-07 09:14:15
185866,,,5,77921.78,,8536.0,Customer_8536,51.0,Female,East India,65.0,Laptop,Electronics,Xiaomi,4.9,0.23,299998.85,UPI,2025-05-31,09:14:16,2025-06-02 09:14:16
640961,,,1,18699.12,,3464.0,Customer_3464,53.0,Male,South India,79.0,Headphones,Electronics,Sony,4.4,0.05,17764.16,Credit/Debit Card,2025-05-31,09:14:17,2025-06-04 09:14:17
713204,,,2,38447.45,,4259.0,Customer_4259,20.0,Male,East India,33.0,Refrigerator,Wearables,LG,4.0,0.2,61515.92,Net Banking,2025-05-31,09:14:18,2025-06-03 09:14:18
377848,,,2,18538.58,,7360.0,Customer_7360,19.0,Female,South India,1.0,Headphones,Electronics,Boat,4.1,0.17,30774.04,Cash,2025-05-31,09:14:19,2025-06-02 09:14:19
451150,,,5,140913.32,,5748.0,Customer_5748,43.0,Male,South India,21.0,Smartphone,Electronics,LG,4.7,0.08,648201.27,Net Banking,2025-05-31,09:14:20,2025-06-02 09:14:20
752319,,,1,47112.59,,2195.0,Customer_2195,45.0,Male,West India,28.0,Smartwatch,Home Appliances,LG,4.9,0.15,40045.7,UPI,2025-05-31,09:14:21,2025-06-01 09:14:21
168719,,,3,65009.26,,8343.0,Customer_8343,31.0,Female,West India,56.0,Washing Machine,Wearables,OnePlus,4.5,0.07,181375.84,UPI,2025-05-31,09:14:22,2025-06-04 09:14:22
236333,,,2,47812.85,,3894.0,Customer_3894,26.0,Male,East India,37.0,Refrigerator,Electronics,LG,4.2,0.16,80325.59,Cash,2025-05-31,09:14:23,2025-06-03 09:14:23
407155,,,4,95196.58,,8161.0,Customer_8161,36.0,Male,East India,49.0,Laptop,Home Appliances,Boat,3.6,0.07,354131.28,Net Banking,2025-05-31,09:14:24,2025-06-03 09:14:24
142870,,,5,9211.51,,2006.0,Customer_2006,38.0,Female,West India,7.0,Headphones,Home Appliances,Boat,3.7,0.29,32700.86,Net Banking,2025-05-31,09:14:25,2025-06-01 09:14:25
929482,,,1,47200.23,,1670.0,Customer_1670,51.0,Female,North India,67.0,Smartwatch,Home Appliances,Sony,4.0,0.01,46728.23,UPI,2025-05-31,09:14:26,2025-06-07 09:14:26
131381,,,3,32832.88,,4629.0,Customer_4629,24.0,Female,South India,20.0,Washing Machine,Home Appliances,Boat,4.5,0.13,85693.82,Net Banking,2025-05-31,09:14:27,2025-06-03 09:14:27
766732,,,4,31895.25,,9530.0,Customer_9530,51.0,Female,North India,18.0,Smartphone,Wearables,Boat,3.6,0.15,108443.85,Cash,2025-05-31,09:14:28,2025-06-03 09:14:28
474718,,,1,81904.97,,3987.0,Customer_3987,60.0,Male,North India,39.0,Smartphone,Wearables,Boat,4.4,0.27,59790.63,UPI,2025-05-31,09:14:29,2025-06-05 09:14:29
750711,,,1,14807.12,,3959.0,Customer_3959,30.0,Male,East India,80.0,Washing Machine,Wearables,Boat,3.7,0.27,10809.2,Net Banking,2025-05-31,09:14:30,2025-06-05 09:14:30
106956,,,3,25546.84,,6498.0,Customer_6498,25.0,Male,South India,98.0,Smartwatch,Home Appliances,Samsung,3.9,0.06,72042.09,UPI,2025-05-31,09:14:31,2025-06-01 09:14:31
174942,,,3,53815.51,,1363.0,Customer_1363,31.0,Male,South India,88.0,Washing Machine,Electronics,LG,4.8,0.28,116241.5,Cash,2025-05-31,09:14:32,2025-06-02 09:14:32
833901,,,5,170498.77,,2814.0,Customer_2814,48.0,Female,West India,76.0,Laptop,Electronics,Xiaomi,4.1,0.29,605270.63,Cash,2025-05-31,09:14:33,2025-06-07 09:14:33
675244,,,3,12358.56,,1037.0,Customer_1037,28.0,Female,North India,35.0,Smartwatch,Wearables,Apple,3.7,0.2,29660.54,Net Banking,2025-05-31,09:14:34,2025-06-03 09:14:34
426109,,,2,16595.13,,5172.0,Customer_5172,28.0,Male,North India,89.0,Refrigerator,Wearables,Xiaomi,3.9,0.18,27216.01,Credit/Debit Card,2025-05-31,09:14:35,2025-06-01 09:14:35
474290,,,4,9440.48,,3979.0,Customer_3979,57.0,Male,South India,80.0,Smartwatch,Electronics,Apple,4.9,0.08,34740.97,UPI,2025-05-31,09:14:36,2025-06-02 09:14:36
862810,,,1,69466.2,,9356.0,Customer_9356,51.0,Male,West India,29.0,Laptop,Home Appliances,Apple,4.8,0.15,59046.27,Cash,2025-05-31,09:14:37,2025-06-04 09:14:37
848520,,,1,232581.02,,2263.0,Customer_2263,47.0,Male,West India,27.0,TV,Electronics,Apple,4.0,0.16,195368.06,Net Banking,2025-05-31,09:14:38,2025-06-01 09:14:38
317492,,,2,9279.67,,5438.0,Customer_5438,29.0,Female,South India,81.0,Headphones,Home Appliances,OnePlus,4.2,0.28,13362.72,Net Banking,2025-05-31,09:14:39,2025-06-03 09:14:39
606239,,,3,45219.75,,7236.0,Customer_7236,35.0,Female,North India,82.0,Washing Machine,Wearables,Boat,4.2,0.06,127519.69,UPI,2025-05-31,09:14:40,2025-06-06 09:14:40
488215,,,1,48633.99,,6413.0,Customer_6413,29.0,Female,South India,13.0,TV,Electronics,Samsung,4.5,0.19,39393.53,Cash,2025-05-31,09:14:41,2025-06-04 09:14:41
405605,,,3,57866.26,,8320.0,Customer_8320,44.0,Male,South India,77.0,Washing Machine,Wearables,Boat,4.5,0.29,123255.13,Net Banking,2025-05-31,09:14:42,2025-06-02 09:14:42
913059,,,3,244230.18,,1824.0,Customer_1824,44.0,Male,North India,27.0,TV,Home Appliances,Xiaomi,4.3,0.16,615460.05,UPI,2025-05-31,09:14:43,2025-06-07 09:14:43
425884,,,5,17064.04,,5540.0,Customer_5540,46.0,Female,East India,13.0,Headphones,Wearables,LG,3.9,0.05,81054.19,Credit/Debit Card,2025-05-31,09:14:44,2025-06-03 09:14:44
607267,,,2,885.88,,2912.0,Customer_2912,45.0,Female,North India,16.0,Headphones,Wearables,Apple,4.5,0.26,1311.1,UPI,2025-05-31,09:14:45,2025-06-06 09:14:45
735025,,,1,8478.13,,8539.0,Customer_8539,31.0,Female,East India,52.0,Headphones,Home Appliances,Apple,4.6,0.21,6697.72,Credit/Debit Card,2025-05-31,09:14:46,2025-06-02 09:14:46
406451,,,1,33511.5,,4501.0,Customer_4501,45.0,Male,South India,86.0,Smartwatch,Wearables,Xiaomi,4.0,0.2,26809.2,Cash,2025-05-31,09:14:47,2025-06-01 09:14:47
255009,,,2,5930.31,,2596.0,Customer_2596,60.0,Male,West India,67.0,Smartwatch,Electronics,Boat,4.5,0.28,8539.65,Cash,2025-05-31,09:14:48,2025-06-06 09:14:48
966649,,,1,56186.44,,4052.0,Customer_4052,54.0,Female,North India,25.0,TV,Wearables,OnePlus,4.2,0.07,52253.39,Net Banking,2025-05-31,09:14:49,2025-06-05 09:14:49
810258,,,5,42989.19,,9176.0,Customer_9176,25.0,Female,East India,4.0,Laptop,Wearables,Sony,4.1,0.14,184853.52,Cash,2025-05-31,09:14:50,2025-06-04 09:14:50
621072,,,3,19118.83,,8308.0,Customer_8308,24.0,Female,South India,28.0,Headphones,Home Appliances,LG,4.3,0.09,52194.41,UPI,2025-05-31,09:14:51,2025-06-03 09:14:51
180079,,,2,21040.77,,3450.0,Customer_3450,34.0,Male,South India,51.0,Smartwatch,Home Appliances,Apple,4.2,0.28,30298.71,Cash,2025-05-31,09:14:52,2025-06-05 09:14:52
679217,,,4,213860.5,,4130.0,Customer_4130,50.0,Female,West India,14.0,TV,Home Appliances,Xiaomi,4.3,0.21,675799.18,Cash,2025-05-31,09:14:53,2025-06-07 09:14:53
418024,,,5,24970.22,,1291.0,Customer_1291,20.0,Female,East India,33.0,Smartwatch,Wearables,Boat,4.7,0.15,106123.43,UPI,2025-05-31,09:14:54,2025-06-03 09:14:54
985454,,,1,3891.86,,1373.0,Customer_1373,57.0,Female,East India,88.0,Headphones,Wearables,Xiaomi,4.4,0.11,3463.76,Cash,2025-05-31,09:14:55,2025-06-07 09:14:55
820115,,,2,45172.61,,1717.0,Customer_1717,23.0,Female,South India,78.0,Washing Machine,Electronics,LG,3.9,0.01,89441.77,Credit/Debit Card,2025-05-31,09:14:56,2025-06-03 09:14:56
388938,,,1,188755.44,,9944.0,Customer_9944,43.0,Male,West India,98.0,Laptop,Electronics,Xiaomi,4.4,0.22,147229.24,Credit/Debit Card,2025-05-31,09:14:57,2025-06-05 09:14:57
851644,,,5,164474.93,,9267.0,Customer_9267,25.0,Female,North India,80.0,Laptop,Wearables,Boat,4.3,0.22,641452.23,Net Banking,2025-05-31,09:14:58,2025-06-06 09:14:58
650546,,,3,72980.7,,5023.0,Customer_5023,56.0,Female,West India,16.0,Smartphone,Electronics,OnePlus,4.9,0.13,190479.63,Net Banking,2025-05-31,09:14:59,2025-06-07 09:14:59
129795,,,5,17372.58,,4678.0,Customer_4678,31.0,Female,West India,80.0,Smartwatch,Wearables,Boat,3.6,0.21,68621.69,Credit/Debit Card,2025-05-31,09:15:00,2025-06-03 09:15:00
592298,,,5,28847.09,,2016.0,Customer_2016,41.0,Female,South India,39.0,Washing Machine,Electronics,Samsung,4.1,0.14,124042.49,Net Banking,2025-05-31,09:15:01,2025-06-02 09:15:01
